name,lat,lng,address,province,city,area,uid,tag1,tag2
连云区图书馆,34.747934136662735,119.347256,连云港市连云区阅海路连云港市海州湾小学北侧约50米,江苏省,连云港市,连云区,449a78d90b4116d6fc0eb0ff,教育培训,图书馆
图书馆藏,34.54477324411274,119.385074,连云港市连云区东方中路东辛农场中心小学(东方路)南侧,江苏省,连云港市,连云区,fcf2c74386da52ba1b94c617,购物,商铺
东海县少儿图书馆,34.52640970229579,118.769777,江苏省连云港市东海县利民东路12号,江苏省,连云港市,东海县,dffd4642aa9b99b23c9a5ed3,教育培训,图书馆
樊氏图书馆,34.52275868242234,118.712523,东海县牛山街道湖西村,江苏省,连云港市,东海县,368137b14a81f6c0d22dd688,教育培训,图书馆
邓演达文献馆,34.52246234962678,118.712552,江苏省东海县牛山街道湖西村白石岭,江苏省,连云港市,东海县,77e161656bd00121f703b853,教育培训,图书馆
东海县公共图书馆(山左口分馆),34.59594332876785,118.49339,连云港市东海县光明路东海县山左口乡人民政府东南侧约90米,江苏省,连云港市,东海县,0fd8a0ebc2cc98d22fb96d1c,教育培训,图书馆
24小时青少年自助图书馆,34.60441620331302,118.68448,连云港市东海县广场东路温泉镇政府东南侧约210米,江苏省,连云港市,东海县,719021d75d8047b0354aae53,教育培训,图书馆
灌南县图书馆(桥东分馆),34.09194296160144,119.363415,江苏省连云港市灌南县新东南路10号,江苏省,连云港市,灌南县,43bf92a3717fda362fe67bb3,教育培训,图书馆
贺龙国公共图书馆,34.22307466174196,119.572682,连云港市灌南县烟沪线灌南县田楼镇第一卫生院西南侧约230米,江苏省,连云港市,灌南县,eebe2cae72fc25b878f79694,教育培训,图书馆
连云港市图书馆,34.62034305405077,119.220524,江苏省连云港市海州区科苑中路6号,江苏省,连云港市,海州区,118b9b22409064ac32f71d52,教育培训,图书馆
海州区图书馆,34.545278928531474,119.211632,江苏省连云港市海州区迎宾大道海州规划展示馆,江苏省,连云港市,海州区,a9d3dd6cfc60e27c03ff2d2e,教育培训,图书馆
24小时自助图书馆,34.60667374822106,119.185209,江苏省连云港市海州区民主中路131号,江苏省,连云港市,海州区,b21f8169b60570d1d23ce3fa,教育培训,图书馆
连云港市少儿图书馆,34.60627637384274,119.185288,海州区市化路37号(九龙大酒店北侧),江苏省,连云港市,海州区,c7eca12b6188fc37e115f9d8,教育培训,图书馆
江苏海洋大学-图书馆,34.60530449357023,119.226777,苍梧路59号江苏海洋大学,江苏省,连云港市,海州区,341c35de9787e7bfe6073836,教育培训,图书馆
淮海工学院(通灌校区)图书馆,34.58899298052282,119.198833,新南街道通灌南路108号,江苏省,连云港市,海州区,41572e0014f045c9b55f1eb2,教育培训,图书馆
玉带社区-图书阅览室,34.57958436143577,119.189915,江苏省连云港市海州区海昌南路327号附近,江苏省,连云港市,海州区,c8aeb36f36b2e934b9df8fef,教育培训,图书馆
赣榆区图书馆,34.838697139829016,119.178519,青口镇黄海东路300号,江苏省,连云港市,赣榆区,7d5f3a0a67ff79352cb90859,教育培训,图书馆
灌云县图书馆,34.28612436501092,119.24915,建设中路6,江苏省,连云港市,灌云县,0a3acd5d72014ca92bb97c7a,教育培训,图书馆
蓓蕾公益图书馆,34.31478935265983,119.460584,连云港市灌云县农苏路与杨陡线交叉路口往南约180米,江苏省,连云港市,灌云县,b4aec1eace5cb334ca09f0ad,教育培训,图书馆
南通市图书馆,31.97940079807698,120.904037,南通市崇川区崇文路2号,江苏省,南通市,崇川区,718bca00149bb64c5fd4fecf,教育培训,图书馆
通州区图书馆,32.06721550317693,121.08397,南通市通州区朝霞路86号,江苏省,南通市,通州区,36e41551c52ad711c356ac54,教育培训,图书馆
如皋市图书馆,32.3737513436374,120.576466,南通市如皋市解放路如皋市人民政府西侧约170米,江苏省,南通市,如皋市,101bc61b21c636a3c42ba1dd,教育培训,图书馆
启东市图书馆,31.812535045353112,121.670928,江苏省南通市启东市民乐中路512号,江苏省,南通市,启东市,08fc93df0a5a35919b68b408,教育培训,图书馆
海安市图书馆,32.53460262684891,120.471693,江苏省南通市海安市中坝南路17号,江苏省,南通市,海安市,d7112e6d3f9999639122e0a8,教育培训,图书馆
如东县新图书馆,32.33606088131942,121.205611,南通市如东县解放路体育馆西南侧约290米,江苏省,南通市,如东县,69ccaca5e83b07f711882478,教育培训,图书馆
海门图书馆,31.89587930802587,121.182339,解放中路668号,江苏省,南通市,海门区,68e93579d06ae56215a190ec,教育培训,图书馆
