name,longitude,latitude,address,cityname,type
洛阳市少年儿童图书馆,112.41793632321101,34.611769191783054,洛阳会展中心B区3层,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑(太康路城市书房),112.4513429766251,34.61933161478724,太康路广利街西南角,洛阳市,科教文化服务;图书馆;图书馆|购物服务;购物相关场所;购物相关场所
悠贝亲子图书馆(宝龙馆),112.45253681640789,34.61217557549524,宝龙广场3层B区新诺少儿英语店内,洛阳市,科教文化服务;图书馆;图书馆
洛龙区图书馆,112.450030288153,34.61634438250546,定鼎门社区服务大楼B座4楼,洛阳市,科教文化服务;图书馆;图书馆
河南科技大学图书馆开元校区分馆,112.40824572104846,34.603079508501594,明德路附近,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑(关林城市书房),112.46087896215995,34.60266231783063,龙门大道与关林路交叉口西北角,洛阳市,科教文化服务;图书馆;图书馆
洛阳理工学院图书馆,112.4093325255612,34.60869230059926,学子街8号,洛阳市,科教文化服务;图书馆;图书馆
河洛文化文献馆,112.43730959788111,34.64152663890315,洛宜公路与聂泰路交汇处洛龙文化双创产业园隋唐文旅小镇16号,洛阳市,科教文化服务;图书馆;图书馆
悠贝亲子图书馆双溪布洛馆,112.41082639027407,34.62423899838141,滨河南路与凝碧南街交叉口蕃茄田艺术中心内,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑(洛浦公园城市书房),112.407546006488,34.633044217549056,滨河北路洛阳·美景嘉园东南侧约180米,洛阳市,科教文化服务;图书馆;图书馆
洛阳市西工区图书馆,112.42946535076594,34.6627426182736,洛阳市西工区凯旋西路13号,洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆友好分馆,112.41523740233028,34.622844796507415,英才路36号洛阳万基公寓,洛阳市,科教文化服务;图书馆;图书馆
河南推拿职业学院图书馆,112.41359956587672,34.61412550204161,学府街10号(河南推拿职业学院),洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆高新分馆,112.39435036147074,34.624012328324326,创业路与鸿都路交叉口鸿都路2号2楼A210室,洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆远恒分馆,112.45845232507781,34.64598900742909,龙门大道219附近,洛阳市,科教文化服务;图书馆;图书馆
云集图书馆,112.40858302050147,34.65787912083821,中州中路涧东路南4号1 2楼(近中州路),洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆,112.39933798771476,34.656272242491525,畅元大厦4-5楼,洛阳市,科教文化服务;图书馆;图书馆
洛阳市科技图书馆,112.40830500442866,34.60293762122356,开元大道263号,洛阳市,科教文化服务;图书馆;图书馆
洛阳市图书馆,112.46622762740941,34.65111113362068,安乐镇龙门大道71号,洛阳市,科教文化服务;图书馆;图书馆
洛阳市涧西区图书馆,112.38987617029325,34.662183242863954,嵩山路31附近,洛阳市,科教文化服务;图书馆;图书馆
洛龙区图书馆煤田社区基层服务点,112.46186713267117,34.57664991992521,,洛阳市,科教文化服务;图书馆;图书馆
西工区图书馆洛北街道分馆,112.43425075226475,34.6561193408583,御博路8-1,洛阳市,科教文化服务;图书馆;图书馆
西岗村党群服务中心图书阅览室,112.4637851270039,34.64693608152915,新西街13号附近,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑(西小屯城市书房),112.41367360875445,34.6631274322264,王城大道137号,洛阳市,科教文化服务;图书馆;图书馆
悠贝亲子图书馆(开元名郡馆),112.38584350788163,34.595281628827344,宇文凯街与洛宜路交叉口东南10米,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑(洛浦苑城市书房),112.4244474876224,34.654963741958284,九都路67号华美大厦大厅内,洛阳市,科教文化服务;图书馆;图书馆
24H自助图书馆,112.4293928274209,34.663174330618325,凯旋西路西工区凯旋路小学西侧约80米,洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆(华林分馆),112.4794145535681,34.675138241060615,九都东路洛阳市第三十六中学西南侧约230米,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑(华夏城市书房),112.35314321885143,34.60806349106532,华夏路吕沟社区党群服务中心对面51中隔壁,洛阳市,科教文化服务;图书馆;图书馆
爱能幸福家庭公益图书馆,112.47523066012118,34.67762315050357,,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑涧河公园城市书房,112.39647964717757,34.67386221805803,,洛阳市,科教文化服务;图书馆;图书馆
洛阳市涧西区24小时自助图书馆,112.38720109959766,34.642352308297376,新疆路牡丹新村南侧,洛阳市,科教文化服务;图书馆;图书馆
涧西区图书馆天津路街道分馆,112.38020566837513,34.67000090267771,,洛阳市,科教文化服务;图书馆;图书馆
悠贝亲子图书馆(升龙广场馆),112.40504389898047,34.67037774634463,升龙广场A区真爱幼全日制早教内,洛阳市,科教文化服务;图书馆;图书馆
涧西区少年儿童图书馆,112.35941785557223,34.66254660843498,郑州路与景华路交叉口向南100米路西(洛阳市第五十九中学北隔壁),洛阳市,科教文化服务;图书馆;图书馆
沃德英语公益图书馆,112.37373392378515,34.650169511693704,联盟路朋瑞园小区1号楼商铺,洛阳市,科教文化服务;图书馆;图书馆
洛阳市图书馆,112.4296015344354,34.663062934788414,凯旋西路13号,洛阳市,科教文化服务;图书馆;图书馆
河洛书苑北航城市书房,112.35899788175101,34.63667847055861,九都路与龙鳞路交叉口 洛阳北航科技园,洛阳市,科教文化服务;图书馆;图书馆
洛阳市工人文化宫图书馆,112.37435038126564,34.65799834685193,景华路69号附近,洛阳市,科教文化服务;图书馆;图书馆
河南林业职业学院图书馆,112.49091950136744,34.684188418026494,启明南路与中州东路交叉口,洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆(诸葛分馆),112.51376339829022,34.579996422056176,惠民巷与福民巷交叉口北200米,洛阳市,科教文化服务;图书馆;图书馆
洛阳浮法玻璃集团有限责任公司工会图书馆,112.44008816681,34.67207403024169,道南路21号(洛玻家属院),洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆瀍河分馆,112.46849904685892,34.68885563113609,机床巷北关市场(环城北路店)北侧约250米,洛阳市,科教文化服务;图书馆;图书馆
洛阳市少年儿童图书馆(孙旗屯小学分馆),112.37238985422528,34.64385726169459,涧西区高新区孙旗屯村孙旗屯小学,洛阳市,科教文化服务;图书馆;图书馆
工会图书馆,112.35091193201339,34.66190843640838,共青路与汉口路交叉口北100米,洛阳市,科教文化服务;图书馆;图书馆
洛阳市涧西区24小时自助图书馆,112.37218883713035,34.660060577795775,景华路大张购物广场(景华路店),洛阳市,科教文化服务;图书馆;图书馆
老城区图书馆,112.42907030399483,34.70067652166303,邙山街道魏紫路北京住总鼎城西100米,洛阳市,科教文化服务;图书馆;图书馆
洛阳职业技术学院图书馆,112.59256936082377,34.593101599331895,科技大道6号,洛阳市,科教文化服务;图书馆;图书馆
洛阳市涧西区24小时自助图书馆,112.35209564180774,34.66622716812741,汉口路14号附近,洛阳市,科教文化服务;图书馆;图书馆
中国民航飞行学院洛阳分院图书馆,112.37427305420196,34.729979011051256,麻屯镇中国民航飞行学院洛阳分院飞行讲评室,洛阳市,科教文化服务;图书馆;图书馆
洛阳师范学院伊滨校区图书馆(装修中),112.59205905873044,34.6246203851218,伊滨区吉庆路6号洛阳师范学院月明湖南,洛阳市,科教文化服务;图书馆;图书馆
图书阅览室,112.25646158678994,34.549080591393164,,洛阳市,科教文化服务;图书馆;图书馆
孟津图书馆,112.43168293529456,34.81953220429586,桂花大道323-325,洛阳市,科教文化服务;图书馆;图书馆
